Found 2 clusters
         36857989 function calls (36842332 primitive calls) in 57.549 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1496    0.000    0.000    0.001    0.000 sre_parse.py:153(__len__)
      127    0.000    0.000    0.002    0.000 transforms.py:2027(scale)
      340    0.000    0.000    0.001    0.000 _util.py:306(<listcomp>)
      480    0.000    0.000    0.002    0.000 artist.py:61(_stale_axes_callback)
      140    0.000    0.000    0.005    0.000 transforms.py:1407(transform)
      136    0.000    0.000    0.006    0.000 transforms.py:1500(transform_point)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1178(__init__)
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       80    0.000    0.000    0.001    0.000 artist.py:985(update_from)
       67    0.000    0.000    0.003    0.000 text.py:131(__init__)
      213    0.000    0.000    0.003    0.000 __init__.py:540(dedent)
       42    0.000    0.000    0.002    0.000 abc.py:132(__new__)
      447    0.000    0.000    0.001    0.000 numeric.py:504(asanyarray)
       23    0.000    0.000    0.000    0.000 generic.py:6(create_pandas_abc_type)
      307    0.000    0.000    0.001    0.000 contextlib.py:63(__exit__)
      197    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
        1    0.000    0.000    0.003    0.003 pyplot.py:2040(_setup_pyplot_info_docstrings)
      807    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
      111    0.000    0.000    0.008    0.000 _distn_infrastructure.py:591(__init__)
      215    0.000    0.000    0.017    0.000 sre_compile.py:516(_code)
      280    0.000    0.000    0.004    0.000 markers.py:247(_recache)
      100    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.concatenate}
      133    0.000    0.000    0.001    0.000 ops.py:274(_get_opstr)
      229    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.001    0.000 six.py:1(<module>)
      662    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
     3367    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       81    0.000    0.000    0.000    0.000 utils.py:74(__call__)
      218    0.000    0.000    0.001    0.000 sre_parse.py:217(__init__)
       76    0.000    0.000    0.001    0.000 path.py:159(_fast_from_codes_and_verts)
       28    0.000    0.000    0.001    0.000 transforms.py:2861(nonsingular)
       65    0.000    0.000    0.000    0.000 font_manager.py:739(set_weight)
       66    0.000    0.000    0.001    0.000 shape_base.py:555(column_stack)
       80    0.000    0.000    0.001    0.000 backend_bases.py:733(__init__)
      192    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
  128/102    0.000    0.000    0.080    0.001 <frozen importlib._bootstrap_external>:903(create_module)
       68    0.000    0.000    0.004    0.000 ops.py:1486(_arith_method_FRAME)
        7    0.000    0.000    0.016    0.002 core.py:2772(__new__)
     2084    0.000    0.000    0.000    0.000 artist.py:197(axes)
       29    0.000    0.000    0.004    0.000 patches.py:679(_update_patch_transform)
        8    0.000    0.000    0.001    0.000 ticker.py:734(_set_format)
      214    0.000    0.000    0.003    0.000 fromnumeric.py:1933(any)
      491    0.000    0.000    0.005    0.000 colors.py:105(is_color_like)
      275    0.000    0.000    0.001    0.000 __init__.py:1245(getint_event)
     3033    0.000    0.000    0.000    0.000 inspect.py:2438(default)
  263/261    0.000    0.000    0.000    0.000 pyparsing.py:349(__init__)
     1208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      241    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
  192/190    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:1043(__import__)
      340    0.000    0.000    0.000    0.000 _util.py:296(<listcomp>)
       62    0.000    0.000    0.000    0.000 stride_tricks.py:179(_broadcast_shape)
       64    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.generic' objects}
      484    0.000    0.000    0.014    0.000 re.py:170(search)
       45    0.000    0.000    0.001    0.000 transforms.py:1981(rotate_deg)
        2    0.000    0.000   57.555   28.778 main.py:1(<module>)
      283    0.000    0.000    0.002    0.000 __init__.py:1357(_to_unmasked_float_array)
       96    0.000    0.000    0.001    0.000 text.py:863(get_prop_tup)
  722/506    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      129    0.000    0.000    0.002    0.000 transforms.py:1798(frozen)
      243    0.000    0.000    0.001    0.000 transforms.py:123(invalidate)
      161    0.000    0.000    0.001    0.000 transforms.py:2536(composite_transform_factory)
       85    0.000    0.000    0.000    0.000 docstring.py:40(__call__)
      160    0.000    0.000    0.001    0.000 text.py:849(get_unitless_position)
      384    0.000    0.000    0.001    0.000 font_manager.py:1188(<genexpr>)
  124/120    0.000    0.000    0.001    0.000 spines.py:436(get_spine_transform)
       19    0.000    0.000    0.006    0.000 rcsetup.py:825(validate_cycler)
      215    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      340    0.000    0.000    0.000    0.000 _util.py:301(<listcomp>)
        1    0.000    0.000    0.040    0.040 rcsetup.py:15(<module>)
